[S-29A] [Kaldi] [0] [0.1557377049180328] S:[23], I:[2], D:[13]
[S-29A] [Google] [1] [0.2951388888888889] S:[24], I:[1], D:[60]
[S-29A] [Kaldi] [1] [0.20833333333333334] S:[32], I:[3], D:[25]
[S-29A] [Google] [2] [0.3993174061433447] S:[19], I:[0], D:[98]
[S-29A] [Kaldi] [2] [0.17064846416382254] S:[20], I:[1], D:[29]
[S-29A] [Google] [3] [0.310126582278481] S:[31], I:[1], D:[66]
[S-29A] [Kaldi] [3] [0.17405063291139242] S:[26], I:[2], D:[27]
[S-29A] [Google] [4] [0.3204633204633205] S:[40], I:[6], D:[120]
[S-29A] [Kaldi] [4] [0.17953667953667954] S:[41], I:[13], D:[39]
[S-29A] [Google] [5] [0.2656826568265683] S:[23], I:[2], D:[47]
[S-29A] [Kaldi] [5] [0.14391143911439114] S:[16], I:[3], D:[20]
[S-29A] [Google] [6] [0.2972972972972973] S:[0], I:[0], D:[11]
[S-29A] [Kaldi] [6] [0.1891891891891892] S:[3], I:[0], D:[4]
[S-29A] [Google] [7] [0.27058823529411763] S:[6], I:[1], D:[16]
[S-29A] [Kaldi] [7] [0.23529411764705882] S:[12], I:[2], D:[6]
[S-29A] [Google] [8] [0.2] S:[5], I:[0], D:[10]
[S-29A] [Kaldi] [8] [0.17333333333333334] S:[8], I:[3], D:[2]
[S-29A] [Google] [9] [0.47619047619047616] S:[7], I:[1], D:[12]
[S-29A] [Kaldi] [9] [0.19047619047619047] S:[3], I:[0], D:[5]
[S-29A] [Google] [10] [0.3142857142857143] S:[7], I:[1], D:[14]
[S-29A] [Kaldi] [10] [0.2] S:[8], I:[0], D:[6]
[S-29A] [Google] [11] [0.25] S:[2], I:[0], D:[11]
[S-29A] [Kaldi] [11] [0.34615384615384615] S:[9], I:[0], D:[9]
[S-14B] [Google] [0] [0.4331395348837209] S:[62], I:[2], D:[85]
[S-14B] [Kaldi] [0] [0.3081395348837209] S:[60], I:[14], D:[32]
[S-14B] [Google] [1] [0.43342776203966005] S:[62], I:[3], D:[88]
[S-14B] [Kaldi] [1] [0.31728045325779036] S:[56], I:[7], D:[49]
[S-14B] [Google] [2] [0.39755351681957185] S:[64], I:[4], D:[62]
[S-14B] [Kaldi] [2] [0.28440366972477066] S:[58], I:[6], D:[29]
[S-14B] [Google] [3] [0.5524475524475524] S:[39], I:[0], D:[40]
[S-14B] [Kaldi] [3] [0.43356643356643354] S:[42], I:[5], D:[15]
[S-14B] [Google] [4] [0.4472049689440994] S:[57], I:[5], D:[82]
[S-14B] [Kaldi] [4] [0.2950310559006211] S:[54], I:[10], D:[31]
[S-14B] [Google] [5] [0.34893617021276596] S:[69], I:[7], D:[88]
[S-14B] [Kaldi] [5] [0.22340425531914893] S:[60], I:[9], D:[36]
[S-14B] [Google] [6] [0.4142857142857143] S:[7], I:[0], D:[22]
[S-14B] [Kaldi] [6] [0.2571428571428571] S:[12], I:[0], D:[6]
[S-14B] [Google] [7] [0.3191489361702128] S:[6], I:[1], D:[23]
[S-14B] [Kaldi] [7] [0.35106382978723405] S:[21], I:[3], D:[9]
[S-14B] [Google] [8] [0.3333333333333333] S:[2], I:[0], D:[9]
[S-14B] [Kaldi] [8] [0.2727272727272727] S:[4], I:[0], D:[5]
[S-32D] [Google] [0] [0.5236220472440944] S:[48], I:[9], D:[76]
[S-32D] [Kaldi] [0] [0.421259842519685] S:[46], I:[25], D:[36]
[S-32D] [Google] [1] [0.40063091482649843] S:[36], I:[1], D:[90]
[S-32D] [Kaldi] [1] [0.24921135646687698] S:[40], I:[3], D:[36]
[S-32D] [Google] [2] [0.4980544747081712] S:[44], I:[0], D:[84]
[S-32D] [Kaldi] [2] [0.40077821011673154] S:[55], I:[7], D:[41]
[S-32D] [Google] [3] [0.4340277777777778] S:[25], I:[1], D:[99]
[S-32D] [Kaldi] [3] [0.20833333333333334] S:[29], I:[3], D:[28]
[S-32D] [Google] [4] [0.5819397993311036] S:[31], I:[1], D:[142]
[S-32D] [Kaldi] [4] [0.2809364548494983] S:[37], I:[5], D:[42]
[S-32D] [Google] [5] [0.391304347826087] S:[28], I:[0], D:[62]
[S-32D] [Kaldi] [5] [0.23478260869565218] S:[31], I:[3], D:[20]
[S-32D] [Google] [6] [0.5949367088607594] S:[11], I:[0], D:[36]
[S-32D] [Kaldi] [6] [0.35443037974683544] S:[9], I:[0], D:[19]
[S-32D] [Google] [7] [0.5] S:[18], I:[0], D:[37]
[S-32D] [Kaldi] [7] [0.2909090909090909] S:[11], I:[0], D:[21]
[S-32D] [Google] [8] [0.4411764705882353] S:[5], I:[0], D:[10]
[S-32D] [Kaldi] [8] [0.2647058823529412] S:[6], I:[0], D:[3]
[S-32D] [Google] [9] [0.3855421686746988] S:[27], I:[1], D:[36]
[S-32D] [Kaldi] [9] [0.3072289156626506] S:[27], I:[3], D:[21]
[S-32D] [Google] [10] [0.7058823529411765] S:[2], I:[1], D:[9]
[S-32D] [Kaldi] [10] [0.35294117647058826] S:[4], I:[1], D:[1]
[S-32D] [Google] [11] [0.48333333333333334] S:[12], I:[8], D:[9]
[S-32D] [Kaldi] [11] [0.25] S:[5], I:[6], D:[4]
[S-22B] [Google] [0] [0.43946188340807174] S:[34], I:[2], D:[62]
[S-22B] [Kaldi] [0] [0.25112107623318386] S:[36], I:[4], D:[16]
[S-22B] [Google] [1] [0.3389830508474576] S:[28], I:[3], D:[49]
[S-22B] [Kaldi] [1] [0.211864406779661] S:[36], I:[6], D:[8]
[S-22B] [Google] [2] [0.375] S:[102], I:[5], D:[112]
[S-22B] [Kaldi] [2] [0.21575342465753425] S:[82], I:[14], D:[30]
[S-22B] [Google] [3] [0.3715415019762846] S:[28], I:[1], D:[65]
[S-22B] [Kaldi] [3] [0.18181818181818182] S:[24], I:[6], D:[16]
[S-22B] [Google] [4] [0.4402332361516035] S:[53], I:[1], D:[97]
[S-22B] [Kaldi] [4] [0.2303206997084548] S:[38], I:[4], D:[37]
[S-22B] [Google] [5] [0.4] S:[51], I:[4], D:[95]
[S-22B] [Kaldi] [5] [0.18666666666666668] S:[45], I:[8], D:[17]
[S-22B] [Google] [6] [0.4857142857142857] S:[7], I:[0], D:[10]
[S-22B] [Kaldi] [6] [0.2571428571428571] S:[4], I:[0], D:[5]
[S-22B] [Google] [7] [0.2710843373493976] S:[22], I:[1], D:[22]
[S-22B] [Kaldi] [7] [0.18072289156626506] S:[21], I:[1], D:[8]
[S-22B] [Google] [8] [0.3524229074889868] S:[32], I:[1], D:[47]
[S-22B] [Kaldi] [8] [0.18502202643171806] S:[28], I:[2], D:[12]
[S-22B] [Google] [9] [0.2608695652173913] S:[3], I:[0], D:[9]
[S-22B] [Kaldi] [9] [0.13043478260869565] S:[3], I:[1], D:[2]
[S-22B] [Google] [10] [0.3088235294117647] S:[32], I:[1], D:[30]
[S-22B] [Kaldi] [10] [0.20098039215686275] S:[31], I:[2], D:[8]
[S-22B] [Google] [11] [0.40384615384615385] S:[41], I:[2], D:[41]
[S-22B] [Kaldi] [11] [0.19230769230769232] S:[27], I:[5], D:[8]
[S-4D] [Google] [0] [0.5574074074074075] S:[111], I:[9], D:[181]
[S-4D] [Kaldi] [0] [0.40925925925925927] S:[134], I:[12], D:[75]
[S-4D] [Google] [1] [0.584051724137931] S:[110], I:[3], D:[158]
[S-4D] [Kaldi] [1] [0.4202586206896552] S:[114], I:[12], D:[69]
[S-4D] [Google] [2] [0.5465465465465466] S:[73], I:[3], D:[106]
[S-4D] [Kaldi] [2] [0.37237237237237236] S:[64], I:[5], D:[55]
[S-4D] [Google] [3] [0.5313351498637602] S:[89], I:[1], D:[105]
[S-4D] [Kaldi] [3] [0.3569482288828338] S:[61], I:[6], D:[64]
[S-4D] [Google] [4] [0.5283018867924528] S:[117], I:[4], D:[131]
[S-4D] [Kaldi] [4] [0.3668763102725367] S:[91], I:[9], D:[75]
[S-4D] [Google] [5] [0.5807174887892377] S:[119], I:[2], D:[138]
[S-4D] [Kaldi] [5] [0.37668161434977576] S:[98], I:[11], D:[59]
[S-8D] [Google] [0] [0.42435424354243545] S:[36], I:[3], D:[76]
[S-8D] [Kaldi] [0] [0.2066420664206642] S:[36], I:[5], D:[15]
[S-8D] [Google] [1] [0.33725490196078434] S:[32], I:[0], D:[54]
[S-8D] [Kaldi] [1] [0.17254901960784313] S:[29], I:[1], D:[14]
[S-8D] [Google] [2] [0.3076923076923077] S:[38], I:[1], D:[97]
[S-8D] [Kaldi] [2] [0.18099547511312217] S:[42], I:[7], D:[31]
[S-8D] [Google] [3] [0.38934426229508196] S:[62], I:[1], D:[127]
[S-8D] [Kaldi] [3] [0.2786885245901639] S:[83], I:[6], D:[47]
[S-8D] [Google] [4] [0.34896810506566606] S:[79], I:[4], D:[103]
[S-8D] [Kaldi] [4] [0.21575984990619138] S:[69], I:[10], D:[36]
[S-8D] [Google] [5] [0.3150105708245243] S:[60], I:[2], D:[87]
[S-8D] [Kaldi] [5] [0.1733615221987315] S:[50], I:[5], D:[27]
[S-3C] [Google] [0] [0.37872340425531914] S:[42], I:[2], D:[45]
[S-3C] [Kaldi] [0] [0.33617021276595743] S:[37], I:[12], D:[30]
[S-3C] [Google] [1] [0.3935483870967742] S:[19], I:[3], D:[39]
[S-3C] [Kaldi] [1] [0.33548387096774196] S:[29], I:[6], D:[17]
[S-3C] [Google] [2] [0.43351063829787234] S:[44], I:[7], D:[112]
[S-3C] [Kaldi] [2] [0.2872340425531915] S:[57], I:[2], D:[49]
[S-3C] [Google] [3] [0.3232758620689655] S:[41], I:[4], D:[30]
[S-3C] [Kaldi] [3] [0.20689655172413793] S:[30], I:[5], D:[13]
[S-3C] [Google] [4] [0.3865168539325843] S:[87], I:[11], D:[74]
[S-3C] [Kaldi] [4] [0.2247191011235955] S:[61], I:[7], D:[32]
[S-3C] [Google] [5] [0.3948339483394834] S:[40], I:[1], D:[66]
[S-3C] [Kaldi] [5] [0.2988929889298893] S:[37], I:[4], D:[40]
[S-12D] [Google] [0] [0.5409836065573771] S:[26], I:[1], D:[39]
[S-12D] [Kaldi] [0] [0.3114754098360656] S:[23], I:[1], D:[14]
[S-12D] [Google] [1] [0.5534591194968553] S:[33], I:[1], D:[54]
[S-12D] [Kaldi] [1] [0.3584905660377358] S:[32], I:[5], D:[20]
